Income,Age,Gender,Marital,location,employment,Education,TimeSinceLast,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,Image10,Dependent,REST1,REST2,REST3,REST4,REST5,REST6,REST7,REST8,REST9,REST10,REST11,REST12,REST13,REST14,REST15,REST16,REST17,REST18,REST19,REST20,REST21,REST22,REST23,ATM1,ATM2,ATM3,SED1,SED2,SED3,SOC1,SOC2,SOC3,IND1,IND2,IND3,ADD1,ADD2,ADD3,SMM1,SMM2,SMM3,STM1,STM2,STM3,attention1,attention2,attention3,attention4,attention5,motor1,motor2,motor3,motor4,NP1,NP2,NP3,NP4,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13
X,23,Woman,In a relationship,Zagreb,Yes,Hight school,1,0.8,13,0.5,30,20,0.3,0.75,6,6,16,3,5,3,5,2,3,2,4,4,3,2,1,1,1,1,1,2,3,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,4,2,4,1,2,2,2,3,4,5,3,3,3,3,5,3,3,2,2,2,2,3,3,3,3,4,3,1,3,2,5,3,3,1,3,3,2,4
X,23,Woman,In a relationship,Zagreb,Yes,MA,2,0.7,10,0.3,30,20,0.4,0.7,8,6,16,10,4,5,5,4,5,5,5,5,5,5,1,5,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,3,2,1,4,3,3,1,4,3,1,3,3,2
X,39,Female,In a relationship,Zagreb,Da,VSS,10,0.8,10,0.5,39,20,0.45,0.75,8,6,16,12,1,4,5,1,2,1,3,3,4,3,5,3,2,4,4,3,3,2,3,4,4,3,3,5,5,5,3,3,NA,3,5,3,4,3,3,4,5,4,4,5,5,5,4,4,3,2,3,3,2,4,3,3,3,2,2,2,3,2,1,2,2,2,2,2,2,2,1,1,1,2
X,16,Female,Single,"Zagreb,Croatia",No,High school,5,2,16,0.5,0,20,0.7,0.2,9,6,16,10,4,2,3,1,5,2,2,3,4,2,5,4,5,2,4,4,2,2,1,2,2,2,2,2,5,5,2,3,3,1,4,2,4,3,2,2,2,4,3,1,4,2,3,2,3,4,4,5,3,1,4,4,3,2,2,2,1,3,3,3,4,3,2,3,3,4,4,2,4,3
x,20,Male,Single,Belgium,No,High school,3,0.7,12,0.4,30,29,0.2,0.6,8,6,16,11,1,2,4,1,1,1,2,4,5,1,1,2,2,1,2,1,2,2,1,2,3,1,2,5,5,4,2,1,1,4,4,3,4,4,4,4,3,2,4,5,5,1,2,2,5,1,1,3,2,4,3,4,3,1,3,1,2,3,3,5,5,5,1,5,1,5,5,2,5,5
X,21,Male,Single,Belgium,Yes,University,5,0.7,10,0.3,30,20,0.4,0.7,8,6,16,12,1,4,5,1,2,1,3,3,4,3,5,3,2,4,4,3,3,2,3,4,4,3,3,4,5,4,3,3,4,3,NA,3,4,3,3,4,5,4,4,5,5,5,4,4,3,2,3,3,2,4,3,3,3,2,2,2,3,2,1,2,2,2,2,2,2,2,1,1,1,2
x,23,Male,Single,Belgium,No,High school,3,2,16,0.5,0,20,0.7,0.2,9,6,16,11,1,2,4,1,1,1,2,4,5,1,1,2,2,1,2,1,2,2,1,2,3,1,2,4,5,5,2,1,1,4,4,3,4,4,4,4,3,2,4,5,5,1,2,2,5,1,1,2,2,4,4,4,3,1,3,1,2,2,3,4,5,5,1,4,1,5,4,2,5,5
X,25,Male,Single,Belgium,Yes,University,5,0.8,11,0.4,100,20,0.3,0.7,8,6,16,9,2,3,5,1,4,4,5,4,5,5,1,2,1,3,1,2,1,1,1,2,2,2,1,3,5,3,1,1,1,1,2,3,NA,1,3,1,2,2,3,3,3,3,1,2,3,3,2,4,3,2,2,2,2,4,2,3,3,4,2,2,3,2,4,3,3,2,3,2,2,2
X,24,Female,Single,Belgium,No,High school,2,0.8,12,0.6,30,20,0.3,0.85,8,6,16,11,1,2,4,1,1,1,2,4,5,1,1,2,2,1,2,1,2,2,1,2,3,1,2,4,5,4,2,1,1,4,4,3,4,4,4,4,3,2,4,5,5,1,2,2,5,1,1,2,2,4,4,4,3,1,3,1,2,2,3,4,5,5,1,4,1,3,4,3,5,5
x,27,Male,Single,Belgium,Yes,University,5,0.8,13,0.5,30,20,0.3,0.75,6,6,16,12,1,4,5,1,2,1,3,3,4,3,5,3,2,4,4,3,3,2,3,4,4,3,3,5,5,4,3,3,NA,3,4,3,5,3,3,4,5,4,4,5,5,4,4,4,3,2,3,3,2,4,3,3,3,2,2,2,3,2,1,3,2,2,2,2,2,2,1,1,1,2
X,25,Female,Single,France,Yes,High school,2,2,16,0.5,0,20,0.7,0.2,9,6,16,12,1,4,5,1,2,1,3,3,4,3,5,3,2,4,4,3,3,3,3,3,3,3,3,5,4,5,3,3,NA,3,5,3,4,3,3,4,5,4,4,5,4,5,5,5,3,2,3,3,2,5,3,3,4,2,3,2,3,2,4,2,3,2,2,3,2,3,1,1,4,2
x,23,Male,Single,Amsterdam,Yes,High school,5,0.7,9,0.5,50,20,0.4,0.7,8,6,16,9,4,3,4,2,1,3,3,3,4,3,1,1,2,2,1,1,2,2,2,3,2,2,1,4,5,4,2,3,2,3,3,2,2,3,2,3,2,2,4,2,4,2,4,4,2,1,4,2,3,4,3,4,3,2,2,3,4,3,2,2,4,3,3,1,5,4,3,3,2,3
X,25,Female,Single,Belgium,No,High school,5,8,11,5,0,20,4,9,8,6,16,3,5,3,5,2,3,2,4,4,3,2,1,1,1,1,1,3,3,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,4,2,4,2,2,2,2,3,4,5,3,3,3,3,5,4,3,2,2,2,2,3,3,3,3,4,3,1,3,2,5,3,3,1,3,3,2,4
x,24,Male,Single,France,Yes,University,5,0.8,13,0.5,30,20,0.3,0.75,6,6,16,11,1,2,4,1,1,1,2,4,5,1,1,2,2,1,2,1,2,2,1,2,3,2,2,4,5,5,2,2,2,4,4,3,4,4,4,4,3,2,4,5,5,1,2,1,5,1,1,2,2,4,4,4,3,1,3,4,2,2,3,4,5,5,4,4,1,5,4,2,5,5
x,26,Male,Single,France,No,High school,2,0.7,17,0.5,0.8,20,0.8,0.8,8,6,10,9,2,2,2,1,4,5,5,4,5,5,4,1,4,4,4,1,1,1,1,4,1,1,4,2,4,4,2,1,2,4,4,2,4,4,4,4,4,4,4,2,4,2,4,2,3,1,2,2,2,2,3,3,2,3,3,3,4,3,3,3,4,2,3,2,2,3,4,2,3,3
X,28,Male,Single,Belgium,Yes,University,3,0.8,13,0.5,30,20,0.3,0.75,6,6,16,12,1,4,5,1,2,1,3,3,4,3,5,4,2,4,4,3,3,2,3,4,4,3,3,5,5,5,3,3,NA,3,5,3,4,3,3,4,5,4,4,5,5,5,4,4,3,2,3,3,2,4,3,3,3,2,2,2,3,2,1,2,2,2,2,2,2,2,1,1,1,2
